"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"518",14,"Jacob Saylors",DET,"RB154","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"519",14,"Braxton Berrios",NYG,"WR174","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"520",14,"Lil'Jordan Humphrey",DEN,"WR175","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"521",14,"Will Mallory",IND,"TE86","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"522",14,"Tanner Koziol",JAC,"TE87","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-197"
"523",14,"Xavier Weaver",ARI,"WR176","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"524",14,"Jordan Akins",FA,"TE88","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"525",15,"Michael Trigg",DAL,"TE89","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-182"
"526",15,"Isaiah Hodgins",NYG,"WR177","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"527",15,"Casey Washington",FA,"WR178","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"528",15,"Zamir White",LV,"RB155","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"529",15,"Trey Sermon",FA,"RB156","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"530",15,"Reggie Gilliam",NE,"RB157","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"531",15,"Tyler Badie",DEN,"RB158","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"532",15,"Julius Chestnut",TEN,"RB159","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"533",15,"Marquez Valdes-Scantling",DAL,"WR179","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"534",15,"Skyy Moore",GB,"WR180","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-224"
"535",15,"Cedrick Wilson Jr.",DET,"WR181","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"536",16,"Jack Stoll",CLE,"TE90","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"537",16,"Velus Jones Jr.",SEA,"WR182","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"538",16,"Kendrick Law",DET,"WR183","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-"
"539",16,"Anthony Gould",IND,"WR184","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
